3.8000|3.8571|4.6667|4.5000|4.1429|3.0000|0.13|4.2000|0.13|0.13|0.13|4.0000|5.0000|5.0000|3.8750|4.0000|5.0000|0.13
4.1111|4.7273|4.7500|4.3077|4.0909|0.13|0.13|4.4194|4.0000|5.0000|3.6667|4.4000|4.0000|4.4118|4.1667|4.0000|4.7000|4.6667
3.5469|3.2571|3.5000|2.7778|2.9643|4.2222|0.13|3.7719|2.5000|0.13|3.6429|3.7500|3.6667|3.1818|3.0000|3.8286|3.5333|2.5556
4.1765|4.0400|3.9286|3.7407|3.3860|4.3333|0.13|3.7143|4.0000|0.13|3.3333|3.7273|4.3333|3.3333|4.0500|4.3158|4.2500|0.13
4.5000|4.8000|5.0000|5.0000|4.8889|5.0000|5.0000|4.9333|0.13|0.13|3.0000|0.13|4.0000|4.6667|4.2500|3.8750|4.0000|0.13
3.7143|2.8000|3.0000|3.6667|3.2222|4.3333|3.0000|3.9630|4.0000|3.6667|5.0000|3.5000|3.7500|3.6250|4.0000|3.7692|3.9167|4.0000
2.7778|2.3333|2.0000|2.6667|2.8400|2.0000|0.13|3.5000|1.0000|0.13|1.0000|2.0000|3.0000|2.9333|2.3750|3.2000|3.0000|0.13
3.6250|3.3333|0.13|4.0000|3.4615|4.2000|1.0000|4.0571|0.13|4.0000|0.13|3.0000|4.3333|3.8571|3.0000|3.7692|3.8000|0.13
3.3125|3.4872|4.2857|3.0000|4.0156|3.9000|4.2500|4.1957|2.6667|4.8750|3.3125|4.1429|4.8000|4.0000|3.7813|3.9459|4.4167|3.9091
2.4085|2.2000|3.0000|2.6667|2.2535|3.3889|0.13|3.3704|2.5000|3.3333|1.8667|2.3333|3.5000|2.4348|2.6176|2.7879|3.3000|2.6667
3.7368|3.9200|3.6667|3.5333|3.5238|3.8889|3.0000|3.7941|3.2500|4.2500|3.1429|3.5263|4.1250|3.7222|3.7037|3.6190|3.7333|4.0000
4.0000|3.7500|3.0000|3.0000|3.6667|3.3333|0.13|3.9444|0.13|0.13|0.13|0.13|4.0000|4.2500|3.3333|4.0909|4.2500|0.13
3.4074|3.3077|4.0000|3.0000|3.6042|3.6923|4.0000|4.0000|0.13|0.13|3.3333|3.3333|3.7143|3.8387|3.7143|3.3214|4.0000|0.13
3.6667|4.0000|5.0000|3.0000|3.0000|3.5000|4.0000|3.4800|0.13|0.13|0.13|0.13|4.0000|3.4444|4.0000|4.0000|3.7500|0.13
3.3714|3.7059|3.8000|3.2727|2.9500|3.8333|0.13|3.5313|3.5000|4.0000|4.2500|3.5000|3.4000|3.3810|4.0667|3.4063|3.5000|2.0000
4.0556|3.5000|4.0000|4.0000|4.5333|4.3333|0.13|4.5556|4.0000|0.13|3.0000|4.0000|4.0000|4.8000|4.1250|4.0833|5.0000|0.13
3.4348|3.0000|4.5000|4.2000|3.5238|4.2857|0.13|3.6042|0.13|4.0000|3.0000|3.1429|4.3333|3.5417|3.0526|3.3500|3.2667|0.13
3.2759|2.6250|3.5714|2.2857|3.4118|3.3636|4.8000|3.9123|3.0000|5.0000|3.2500|2.6000|4.6667|4.1818|4.1579|3.7083|3.5833|4.0000
4.2500|4.0000|4.0000|4.0000|3.6667|4.0000|0.13|3.9565|0.13|5.0000|3.0000|3.0000|4.0000|4.0769|3.0000|4.1250|3.0000|0.13
2.8333|3.3333|0.13|0.13|3.3333|3.0000|5.0000|3.2500|0.13|2.0000|1.5000|2.0000|3.0000|3.0000|2.8333|2.4444|3.0000|0.13
3.6667|3.0000|0.13|0.13|5.0000|4.6667|5.0000|5.0000|0.13|0.13|0.13|5.0000|4.3333|3.0000|3.6667|4.0000|4.0000|0.13
3.3226|3.4500|4.0000|2.5385|3.1750|4.2500|0.13|2.4286|0.13|0.13|2.6000|3.2500|3.5000|2.5556|3.5714|3.0000|4.5000|1.0000
3.3750|3.3571|3.5714|3.0769|3.5897|3.6667|0.13|3.6170|2.0000|4.3333|4.0000|3.7778|3.6667|3.8095|3.3333|4.0000|4.0000|3.7500
3.8372|4.0435|4.4000|4.0625|3.6222|3.7222|4.0000|4.1951|4.5000|3.3333|3.5000|4.0667|3.6000|3.7143|4.0690|3.9024|4.6190|3.4444
3.9545|4.0000|0.13|1.5000|2.2000|3.6667|0.13|4.2000|0.13|0.13|0.13|0.13|3.0000|4.3333|4.1000|3.4000|4.0000|4.3333
5.0000|5.0000|0.13|0.13|4.4000|0.13|0.13|3.8000|0.13|0.13|5.0000|0.13|0.13|4.6667|4.5000|4.0000|3.6667|0.13
4.1818|4.1667|4.0000|4.0000|4.0000|4.2500|4.0000|4.2439|0.13|4.7500|5.0000|4.0000|4.5000|4.2273|4.5000|4.3333|4.3636|4.6667
3.1667|3.1818|0.13|4.0000|3.5349|3.4444|0.13|3.7800|5.0000|3.0000|3.5000|2.0000|3.3333|3.6250|3.5385|3.2667|3.4545|3.0000
4.4286|4.5000|0.13|3.0000|4.6000|4.0000|0.13|4.1000|0.13|0.13|0.13|0.13|4.0000|4.5000|4.0000|4.3333|4.5000|3.0000
3.1702|3.2703|3.7143|3.1667|3.1683|3.2333|3.1667|3.5401|2.2500|4.3333|1.7111|2.8235|3.3158|3.4030|3.1458|2.8800|3.2759|4.4286
3.8750|4.0000|4.2500|4.0000|4.0714|4.2500|5.0000|4.2000|3.0000|4.6667|4.0000|3.5000|4.6000|3.8000|4.2500|4.2857|5.0000|0.13
2.6000|3.1429|0.13|3.0000|2.7778|2.3333|0.13|3.7500|4.0000|3.0000|1.0000|0.13|2.8000|4.0588|2.8889|2.2000|3.4286|0.13
4.6923|4.8000|4.8333|5.0000|4.1739|4.7000|0.13|4.2308|5.0000|4.3333|5.0000|5.0000|4.0000|4.1333|4.6250|4.2941|4.3333|4.0000
